GEARTRAD — FULL COST BREAKDOWN,,,,,,
Generated: April 2026,,,,,,
,,,,,,
═══════════════════════════════════════════════,,,,,,
SHEET 1 — INFRASTRUCTURE & HOSTING,,,,,,
═══════════════════════════════════════════════,,,,,,
,,,,,,
Service,Plan,Monthly Cost (USD),Annual Cost (USD),What You Get,Can it handle 10k users?,Notes
,,,,,,
VERCEL (Frontend Host),Hobby (Free),$0,$0,"100GB bandwidth · 6000 build min/month · 10s function timeout · 1 team member",YES — serverless auto-scales,Pauses projects inactive 30+ days. No SLA.
VERCEL (Frontend Host),Pro (Recommended),$20,$240,"1TB bandwidth · unlimited build minutes · 60s function timeout · Analytics · Team members · SLA 99.99%",YES — easily handles 50k+ users,Upgrade when you start getting real traffic or need the analytics
,,,,,,
SUPABASE (Database + Auth + Storage),Free,$0,$0,"500MB database · 50k rows · 1GB file storage · PAUSES after 7 days inactivity · No backups",NO — will pause and lose data,Do NOT launch publicly on free tier
SUPABASE (Pro — REQUIRED before launch),$25/month,$25,$300,"8GB database · 100GB file storage · No pausing · Daily backups · Email support · Point-in-time recovery",YES — handles 50k–100k active users comfortably,Upgrade this FIRST before anything else
SUPABASE (Team — when you scale),$599/month,$599,$7188,"500GB database · SSO · Priority support · Advanced security",For 500k+ users,Skip this until you have serious revenue
,,,,,,
CLOUDFLARE (Domain + DNS + DDoS),Domain Registration,~$11/year,~$11,"geartrad.com domain · Free DDoS protection · Free SSL · Fast DNS",N/A — DNS only,Buy once per year. Renew annually.
CLOUDFLARE,Free CDN Plan,$0,$0,"Unlimited DDoS protection · CDN · SSL certificate · Basic analytics",YES,Keep on free plan — more than enough
,,,,,,
PAYMOB (Payment Processing),No monthly fee,$0,$0,No monthly subscription — pay per transaction only,N/A — per transaction,No fixed cost
PAYMOB,Card Transaction Fee,2.75% + 1 EGP per transaction,varies,Domestic Visa/Mastercard,N/A,"On a 500 EGP sale: fee = 500 × 2.75% + 1 = 14.75 EGP paid by GearTrad (you keep 5% platform fee = 25 EGP → net 10.25 EGP per trade)"
PAYMOB,International Card Fee,3.5% per transaction,varies,Non-Egyptian cards,N/A,Slightly higher for international buyers
PAYMOB,Vodafone Cash Fee,~2% per transaction,varies,Mobile wallet payments,N/A,Confirm exact rate with your Paymob account manager
PAYMOB,InstaPay Fee,~1% per transaction,varies,Bank instant transfer,N/A,Usually cheapest option
,,,,,,
TOTAL INFRASTRUCTURE (Minimum — Launch Ready),,,$36/month,$432/year,"Supabase Pro + Vercel Hobby + Domain",,
TOTAL INFRASTRUCTURE (Recommended — Production),,,$56/month,$672/year,"Supabase Pro + Vercel Pro + Domain",,
,,,,,,
,,,,,,
═══════════════════════════════════════════════,,,,,,
SHEET 2 — CLAUDE AI PLANS (For Building GearTrad),,,,,,
═══════════════════════════════════════════════,,,,,,
,,,,,,
Plan,Monthly Cost (USD),Annual Cost (USD),What You Get,Claude Code Included?,Best For
,,,,,,
Claude.ai Free,$0,$0,"Limited messages · Claude Sonnet only · No Projects",NO,Just trying it out
Claude.ai Pro,$20/month,$240/year,"5x more messages than free · Claude Sonnet + some Opus · Projects · Priority access · Claude Code (limited)",YES (limited),Casual use — building a few features per week
Claude.ai Max 5x,$100/month,$1200/year,"5× Pro usage limits · Full Claude Opus access · Claude Code (heavy usage) · Priority queue",YES (heavy),Daily active development — building GearTrad seriously
Claude.ai Max 20x,$200/month,$2400/year,"20× Pro usage limits · Unlimited-feel Claude Code sessions · Top priority queue · Best for full-time dev",YES (very heavy),Full-time co-founder mode — coding all day every day
Claude API (pay per token),~$15–$75/month,varies,"Direct API access · No usage cap · Pay exactly for what you use",Via API key,If you want no subscription and just pay per use
,,,,,,
